,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
49,49,0.7989737951255268,0.8027322404371585,0.8002159827213823,0.8108657363500881,0.8048426150121065,499,167,167,689,1522
50,50,0.8045787545787546,0.8027322404371585,0.8002159827213823,0.8050128015092306,0.8040813862223027,499,167,167,689,1522
51,51,0.8050739185982844,0.8027322404371585,0.8002159827213823,0.8076818675352877,0.80543287555206,499,167,167,689,1522
52,52,0.8086940572267058,0.8027322404371585,0.8002159827213823,0.8115942028985508,0.808379245625719,499,167,167,689,1522
53,53,0.8012332245194052,0.8027322404371585,0.8002159827213823,0.8108987393249288,0.8055874011947143,499,167,167,689,1522
54,54,0.7987444608567208,0.8027322404371585,0.8002159827213823,0.8088792636708175,0.803894213271867,499,167,167,689,1522
55,55,0.8008048289738431,0.8027322404371585,0.8002159827213823,0.8085741419074752,0.8044188861985472,499,167,167,689,1522
56,56,0.8055248618784531,0.8027322404371585,0.8002159827213823,0.804043967973945,0.8039560706267823,499,167,167,689,1522
57,57,0.7970432560686257,0.8027322404371585,0.8002159827213823,0.811040626265353,0.8042848521424261,499,167,167,689,1522
58,58,0.8094182825484765,0.8027322404371585,0.8002159827213823,0.8023318872017353,0.8044679171978388,499,167,167,689,1522
59,59,0.8029438822447102,0.8027322404371585,0.8002159827213823,0.8029790115098172,0.8026299842443341,499,167,167,689,1522
60,60,0.8041958041958042,0.8027322404371585,0.8002159827213823,0.8124492557510149,0.8072822004119714,499,167,167,689,1522
61,61,0.8019040644452582,0.8027322404371585,0.8002159827213823,0.8012985256323549,0.8015359496885771,499,167,167,689,1522
62,62,0.794344473007712,0.8027322404371585,0.8002159827213823,0.8056724114533858,0.8009941201430563,499,167,167,689,1522
63,63,0.8020295202952029,0.8027322404371585,0.8002159827213823,0.8051703244917194,0.8033153850807672,499,167,167,689,1522
64,64,0.8089661482159195,0.8027322404371585,0.8002159827213823,0.8043684710351378,0.8052427654679744,499,167,167,689,1522
65,65,0.8043717854518736,0.8027322404371585,0.8002159827213823,0.8043507817811013,0.8037133669073478,499,167,167,689,1522
66,66,0.8044077134986226,0.8027322404371585,0.8002159827213823,0.8102466793168881,0.8063617085731597,499,167,167,689,1522
67,67,0.8005499541704858,0.8027322404371585,0.8002159827213823,0.8031943692474283,0.8019364599092285,499,167,167,689,1522
68,68,0.8016815938585268,0.8027322404371585,0.8002159827213823,0.8097165991902834,0.8052285214031275,499,167,167,689,1522
69,69,0.7936741449062156,0.8027322404371585,0.8002159827213823,0.8096839273705447,0.8025974025974026,499,167,167,689,1522
70,70,0.8025049918315483,0.8027322404371585,0.8002159827213823,0.8032720933351214,0.8026189332051898,499,167,167,689,1522
71,71,0.7980539746649532,0.8027322404371585,0.8002159827213823,0.8053855569155447,0.8020871253488654,499,167,167,689,1522
72,72,0.8001468159295283,0.8027322404371585,0.8002159827213823,0.8108766233766234,0.8052411789626581,499,167,167,689,1522
73,73,0.8041635961680177,0.8027322404371585,0.8002159827213823,0.8050067658998646,0.803939393939394,499,167,167,689,1522
74,74,0.8061205790727506,0.8027322404371585,0.8002159827213823,0.8084099513250406,0.806108255216208,499,167,167,689,1522
75,75,0.8061972863953062,0.8027322404371585,0.8002159827213823,0.8035834568233867,0.8039736699076031,499,167,167,689,1522
76,76,0.8000367579489065,0.8027322404371585,0.8002159827213823,0.8050169491525424,0.8025821311674143,499,167,167,689,1522
77,77,0.8074670571010248,0.8027322404371585,0.8002159827213823,0.8045010845986985,0.8048057135939959,499,167,167,689,1522
78,78,0.7944977843426884,0.8027322404371585,0.8002159827213823,0.8058409951325041,0.8011398084151813,499,167,167,689,1522
79,79,0.7955506526935099,0.8027322404371585,0.8002159827213823,0.8079881257590069,0.8024437454633438,499,167,167,689,1522
80,80,0.805363006202116,0.8027322404371585,0.8002159827213823,0.8078017066233238,0.8055840937934369,499,167,167,689,1522
81,81,0.794447508733223,0.8027322404371585,0.8002159827213823,0.8059701492537313,0.801164271420775,499,167,167,689,1522
82,82,0.8026872814283085,0.8027322404371585,0.8002159827213823,0.8080862533692722,0.8048382219534321,499,167,167,689,1522
83,83,0.7998173515981735,0.8027322404371585,0.8002159827213823,0.8018090995004725,0.8010746196570877,499,167,167,689,1522
84,84,0.806959706959707,0.8027322404371585,0.8002159827213823,0.8050424700013482,0.8048795217102482,499,167,167,689,1522
85,85,0.8031944189462089,0.8027322404371585,0.8002159827213823,0.8067488819623255,0.8043978677005088,499,167,167,689,1522
86,86,0.7988653001464129,0.8027322404371585,0.8002159827213823,0.7981093855503039,0.7991057942118301,499,167,167,689,1522
87,87,0.802930402930403,0.8027322404371585,0.8002159827213823,0.8039347796792885,0.8030550021131437,499,167,167,689,1522
88,88,0.7997425524089739,0.8027322404371585,0.8002159827213823,0.8063728813559322,0.8030918460139436,499,167,167,689,1522
89,89,0.7965479250826295,0.8027322404371585,0.8002159827213823,0.8135477715687611,0.8052232007288187,499,167,167,689,1522
90,90,0.8077136002952574,0.8027322404371585,0.8002159827213823,0.8030814974996621,0.8042424242424242,499,167,167,689,1522
91,91,0.8010938924339107,0.8027322404371585,0.8002159827213823,0.812634989200864,0.8063348416289593,499,167,167,689,1522
92,92,0.8042920029347028,0.8027322404371585,0.8002159827213823,0.8071025020177562,0.8049251569290198,499,167,167,689,1522
93,93,0.8053617333822989,0.8027322404371585,0.8002159827213823,0.814769647696477,0.8086988126968743,499,167,167,689,1522
